61,13,3,red
254,0,2,red
254,0,0,red
206,0,25,red
209,23,23,red
204,22,0,red
220,0,3,red
139,0,0,red
174,32,26,red
128,24,24,red
37,202,38,green
0,255,0,green
35,67,17,green
64,189,85,green
159,217,140,green
0,166,82,green
0,128,1,green
33,83,54,green
125,194,75,green
123,252,1,green
125,232,88,green
253,251,251,white
248,249,254,white
249,255,241,white
250,240,230,white
255,237,231,white
243,239,227,white
229,224,221,white
242,233,228,white
238,228,220,white
242,233,228,white
0,0,254,blue
3,91,188,blue
0,0,154,blue
0,0,255,blue
0,48,143,blue
1,119,193,blue
